<SIZE>, <EXECUTION_TIME_1>, <EXECUTION_TIME_2>, <EXECUTION_TIME_3>, <EXECUTION_TIME_4>, <EXECUTION_TIME_5>, <AVG>
160, 394166129, 403743187, 396738834, 387853814, 388330742, 394166541
161, 429423771, 398609917, 402212381, 413487410, 428302245, 414407144
162, 521001771, 453480842, 459127134, 453311799, 503139677, 478012244
163, 534468363, 533832102, 519344703, 489569786, 498703909, 515183772
164, 515621652, 493962406, 476428447, 475747781, 468351551, 486022367
165, 448544767, 447484283, 431552546, 468413335, 488039549, 456806896
166, 444650721, 435838313, 448134988, 438379938, 426451822, 438691156
167, 461173573, 453883340, 480645201, 422087281, 418259984, 447209875
168, 883448774, 1416087036, 588149655, 477866197, 461757798, 765461892
169, 453147858, 667148610, 643074049, 749352567, 501458837, 602836384
170, 541536850, 675727338, 540186145, 509203646, 462858481, 545902492
171, 513930658, 482781109, 492710515, 447971174, 448224321, 477123555
172, 435525079, 422036489, 454855626, 424622394, 421700491, 431748015
173, 443736702, 437235406, 444574884, 464909349, 543846804, 466860629
174, 486433379, 450185434, 438940256, 427693814, 431506936, 446951963
175, 450680361, 455727213, 438426343, 442424561, 422062517, 441864199
176, 446642098, 454121526, 440789830, 441039926, 441614279, 444841531
177, 449674606, 442879813, 452209637, 447726753, 452860157, 449070193
178, 467462896, 447098264, 462160474, 462781587, 443139253, 456528494
179, 457989899, 458100481, 459878359, 467175831, 466860516, 462001017
180, 481975983, 481371795, 492737930, 516518931, 491671822, 492855292
181, 478594232, 494289172, 509504456, 564349165, 599236160, 529194637
182, 514630548, 544731636, 533549858, 517831712, 524466596, 527042070
183, 522583624, 572319032, 541729272, 665090902, 609730590, 582290684
184, 654431951, 646155973, 635846359, 588933068, 579484519, 620970374
185, 569112583, 544002741, 633605087, 604066781, 669855697, 604128577
186, 573025531, 618038784, 640956317, 635405312, 649616075, 623408403
187, 703547048, 649076299, 699741419, 681663105, 751519414, 697109457
188, 742352624, 769309411, 727282727, 689441279, 647232802, 715123768
189, 720605247, 636529446, 657496169, 672229743, 720685678, 681509256
190, 709471897, 719288924, 809409647, 659855524, 929016833, 765408565
191, 818569350, 1116305313, 844824864, 850036166, 690752818, 864097702
192, 609092992, 596236865, 582314745, 586883904, 578390669, 590583835
193, 583846764, 596520209, 598287544, 598504357, 598678470, 595167468
194, 610584734, 606897348, 611063550, 587520527, 598603038, 602933839
195, 767991167, 668579033, 613107353, 707971918, 660041727, 683538239
196, 696216250, 713200844, 766282277, 789049056, 694529829, 731855651
197, 671283001, 637070171, 651719484, 658647014, 679177645, 659579463
198, 635801259, 630639092, 635373515, 615198670, 642627333, 631927973
199, 692225743, 658043758, 645924975, 643559814, 660198535, 659990565
200, 756672254, 661348243, 642026585, 698908259, 651338468, 682058761
