<SIZE>, <EXECUTION_TIME_1>, <EXECUTION_TIME_2>, <EXECUTION_TIME_3>, <EXECUTION_TIME_4>, <EXECUTION_TIME_5>, <AVG>
205, 97380, 112594, 93917, 99691, 98705, 100457
206, 102584, 104001, 98454, 105726, 93343, 100821
207, 108087, 91410, 154306, 95329, 92563, 108339
208, 168560, 88345, 67680, 126890, 150275, 120350
209, 117426, 109154, 128655, 114899, 151213, 124269
210, 109741, 112175, 108836, 134607, 115429, 116157
211, 100007, 137349, 68301, 101227, 139275, 109231
212, 101174, 113176, 108477, 99729, 107851, 106081
213, 104589, 114418, 75608, 96718, 70832, 92433
214, 84792, 95329, 81046, 115017, 113600, 97956
215, 103614, 103083, 106092, 117819, 101871, 106495
216, 135712, 120637, 108185, 125375, 110240, 120029
217, 109765, 293565, 108758, 178878, 117324, 161658
218, 111708, 112615, 172634, 123710, 336812, 171495
219, 174693, 118363, 138391, 133909, 96252, 132321
220, 78465, 75550, 77576, 123044, 118663, 94659
221, 119342, 154951, 116031, 82928, 105120, 115674
222, 83917, 76959, 76255, 76540, 108987, 84531
223, 150935, 211095, 117332, 141916, 91559, 142567
224, 74949, 88599, 93755, 77796, 75493, 82118
225, 83832, 96020, 80347, 79833, 81091, 84224
226, 78540, 102771, 84253, 75231, 80026, 84164
227, 86006, 79301, 76793, 76451, 78122, 79334
228, 80382, 76838, 98815, 78151, 105291, 87895
229, 115441, 133285, 121067, 126688, 117329, 122762
230, 112578, 159126, 116162, 118473, 148540, 130975
231, 112613, 113617, 116108, 121408, 112657, 115280
232, 119398, 120047, 116351, 112426, 86510, 110946
233, 85150, 79354, 89408, 80206, 77594, 82342
234, 102228, 81457, 79947, 80099, 80985, 84943
235, 79109, 99749, 86590, 83148, 117858, 93290
236, 135884, 120098, 157504, 85450, 87234, 117234
237, 87758, 85246, 87496, 99030, 94378, 90781
238, 108803, 87079, 123199, 129164, 129287, 115506
239, 247281, 121923, 190217, 124465, 130687, 162914
240, 128292, 139079, 130049, 108058, 102941, 121683
241, 105728, 135782, 113858, 129132, 135811, 124062
242, 132327, 145222, 127508, 133144, 137276, 135095
243, 127869, 135139, 135809, 155638, 590566, 229004
244, 133418, 130117, 141209, 148461, 132879, 137216
245, 164045, 131593, 136373, 135466, 136096, 140714
246, 134568, 168964, 141099, 134987, 138081, 143539
247, 146361, 131518, 440372, 140312, 142518, 200216
248, 91615, 97021, 102288, 118430, 96978, 101266
249, 95017, 91453, 90784, 138038, 146417, 112341
250, 135764, 141390, 147256, 135109, 404945, 192892
251, 139812, 141517, 150661, 136624, 148328, 143388
252, 140084, 141625, 151639, 223873, 178372, 167118
253, 188111, 127971, 135464, 129340, 160252, 148227
254, 145372, 111727, 155068, 142085, 130899, 137030
255, 131944, 155558, 140840, 142696, 156699, 145547
256, 143999, 139816, 148009, 139233, 187239, 151659
257, 167463, 143274, 1474933, 149941, 193986, 425919
258, 153684, 142375, 197072, 143848, 139556, 155307
259, 158376, 148021, 141667, 228202, 139944, 163242
260, 185348, 206748, 166654, 159097, 156469, 174863
261, 186286, 148838, 148642, 141962, 219196, 168984
