<SIZE>, <EXECUTION_TIME_1>, <EXECUTION_TIME_2>, <EXECUTION_TIME_3>, <EXECUTION_TIME_4>, <EXECUTION_TIME_5>, <AVG>
168, 14241, 12723, 11712, 8979, 10892, 11709
169, 14593, 13216, 33882, 9411, 23920, 19004
170, 15117, 13040, 9428, 9048, 11183, 11563
171, 14651, 34273, 9774, 9256, 11196, 15830
172, 14695, 12852, 12090, 9350, 11123, 12022
173, 24295, 35168, 12744, 11816, 11133, 19031
174, 14876, 13272, 9740, 11148, 19102, 13627
175, 26577, 13642, 21405, 18583, 19777, 19996
176, 20202, 23122, 22828, 22167, 24406, 22545
177, 24287, 24114, 23250, 21486, 19219, 22471
178, 14882, 16616, 47153, 11542, 12211, 20480
179, 17804, 14468, 12493, 12018, 11946, 13745
180, 13215, 14721, 12484, 11889, 11611, 12784
181, 15466, 19214, 18345, 18364, 29032, 20084
182, 41571, 12781, 13608, 12186, 20802, 20189
183, 13513, 11754, 10838, 25683, 10745, 14506
184, 15572, 13628, 12819, 13874, 25608, 16300
185, 24376, 27626, 13227, 25269, 12582, 20616
186, 13273, 11758, 10540, 9994, 11738, 11460
187, 18755, 20045, 23925, 21914, 13617, 19651
188, 17243, 21987, 24772, 43025, 19163, 25238
189, 15977, 13927, 11129, 10328, 12367, 12745
190, 16161, 35740, 10998, 12677, 12529, 17621
191, 15919, 14406, 10928, 10557, 36270, 17616
192, 16153, 14390, 10805, 12572, 12016, 13187
193, 29222, 29402, 18595, 15042, 14191, 21290
194, 16767, 14992, 14813, 23716, 13307, 16719
195, 19505, 12753, 26654, 14221, 10900, 16806
196, 16639, 15434, 38814, 13701, 12964, 19510
197, 16827, 15407, 24611, 26955, 44466, 25653
198, 15575, 26761, 26057, 12366, 13803, 18912
199, 16954, 15209, 64746, 11950, 13310, 24433
200, 17250, 26905, 16072, 12425, 16036, 17737
201, 16997, 15267, 14225, 28313, 14190, 17798
202, 17045, 41556, 12376, 13839, 15236, 20010
203, 17360, 15684, 14203, 13698, 13588, 14906
204, 18016, 13350, 14812, 14321, 13165, 14732
205, 15634, 38786, 12983, 16539, 15374, 19863
206, 17530, 15231, 14337, 34595, 20385, 20415
207, 12987, 10914, 9866, 9514, 8941, 10444
208, 13542, 11555, 7609, 9439, 6421, 9713
209, 13541, 11499, 10250, 10024, 9704, 11003
210, 14004, 11990, 11159, 10293, 7331, 10955
211, 13938, 11584, 10025, 9567, 9373, 10897
212, 13441, 12153, 16475, 7489, 9300, 11771
213, 13533, 9295, 11080, 27098, 9985, 14198
214, 13732, 11471, 10307, 10186, 20783, 13295
215, 14144, 11349, 10303, 9505, 9680, 10996
216, 13556, 11918, 10617, 9900, 23137, 13825
217, 22315, 17568, 14348, 24655, 13951, 18567
218, 13715, 12151, 11189, 10656, 10098, 11561
219, 13802, 12153, 13611, 9973, 9457, 11799
220, 14109, 18264, 10665, 9905, 7009, 11990
221, 14235, 12875, 11790, 10579, 9622, 11820
222, 13876, 12027, 11049, 10346, 9994, 11458
223, 14396, 12090, 10905, 10179, 22527, 14019
224, 19014, 22772, 20558, 15179, 18110, 19126
225, 21399, 20052, 17802, 17563, 16643, 18691
226, 22614, 20367, 18217, 17438, 16725, 19072
227, 22006, 20053, 18572, 17933, 17040, 19120
228, 22162, 20694, 19038, 17314, 16929, 19227
229, 21576, 19360, 18330, 17764, 17170, 18840
230, 22359, 20492, 19039, 18210, 17622, 19544
231, 22678, 20224, 18843, 18522, 17490, 19551
232, 23247, 19926, 19112, 18450, 17678, 19682
233, 22363, 20365, 18582, 17564, 17522, 19279
234, 22297, 19964, 18377, 17484, 17719, 19168
235, 21948, 20378, 18491, 18084, 17845, 19349
236, 25220, 32793, 21646, 16480, 15962, 22420
237, 15764, 13251, 11755, 11109, 10676, 12511
238, 15404, 13633, 18771, 11384, 10667, 13971
239, 44831, 14237, 12270, 11306, 10434, 18615
240, 26095, 14987, 23765, 13756, 11619, 18044
241, 17243, 19614, 12244, 11377, 11165, 14328
242, 15452, 12989, 11502, 11411, 10937, 12458
243, 15756, 13781, 26297, 19587, 21138, 19311
244, 24137, 23387, 21116, 21697, 20917, 22250
245, 23861, 21954, 20288, 19683, 18799, 20917
246, 23842, 22323, 21810, 24304, 20252, 22506
247, 21892, 22693, 22219, 21442, 19861, 21621
248, 23485, 22079, 22567, 21144, 20283, 21911
249, 24286, 21531, 20844, 20172, 19203, 21207
250, 23988, 19033, 20527, 19493, 20279, 20664
251, 24403, 22131, 27416, 23874, 19212, 23407
252, 24016, 22260, 25089, 23754, 27587, 24541
253, 23123, 22694, 20930, 24094, 34541, 25076
254, 23099, 13811, 14454, 11208, 16199, 15754
255, 23890, 14610, 14318, 11876, 11783, 15295
256, 16472, 16580, 14495, 11752, 10943, 14048
257, 24559, 14552, 13188, 12287, 11297, 15176
258, 19202, 16275, 15224, 14341, 13861, 15780
259, 17601, 14581, 13108, 14226, 13903, 14683
260, 17247, 15014, 13198, 12098, 11547, 13820
261, 19384, 16326, 20187, 13746, 11195, 16167
262, 16925, 14928, 14531, 13820, 15235, 15087
263, 16914, 14249, 12405, 13559, 13098, 14045
264, 17345, 14544, 12768, 13510, 13641, 14361
265, 17581, 14920, 13392, 13788, 13830, 14702
266, 17414, 14920, 13465, 11775, 11617, 13838
267, 17010, 15227, 13553, 12194, 13663, 14329
268, 21843, 19450, 18201, 15629, 12449, 17514
