<SIZE>, <EXECUTION_TIME_1>, <EXECUTION_TIME_2>, <EXECUTION_TIME_3>, <EXECUTION_TIME_4>, <EXECUTION_TIME_5>, <AVG>
194, 149980, 133189, 136609, 137074, 134138, 138198
195, 166079, 239009, 137099, 139662, 153660, 167101
196, 173964, 157641, 152499, 150814, 225517, 172087
197, 240866, 238542, 232928, 239733, 202944, 231002
198, 146952, 144012, 139715, 159079, 155794, 149110
199, 236152, 271980, 236705, 236676, 236060, 243514
200, 239425, 261416, 230328, 226252, 228524, 237189
201, 237735, 240299, 256393, 235030, 238551, 241601
202, 247915, 246280, 220681, 236447, 188518, 227968
203, 219945, 275844, 224120, 278773, 179835, 235703
204, 151370, 215603, 159502, 160440, 156629, 168708
205, 177889, 158585, 199420, 263014, 263749, 212531
206, 247088, 277488, 161730, 161709, 163493, 202301
207, 148666, 162627, 225867, 1347226, 173184, 411514
208, 157279, 162760, 166898, 265324, 253439, 201140
209, 254065, 256671, 261605, 255265, 250254, 255572
210, 256257, 259786, 256410, 248379, 263091, 256784
211, 266597, 257800, 274807, 216107, 253923, 253846
212, 306910, 294497, 273442, 267137, 270710, 282539
213, 269978, 283696, 383191, 268863, 250894, 291324
214, 332759, 285281, 279611, 266098, 266468, 286043
215, 272630, 272968, 276354, 271876, 203892, 259544
216, 171500, 189089, 220386, 231340, 204944, 203451
217, 247970, 244080, 244309, 249226, 258493, 248815
218, 252181, 180411, 161273, 159386, 155596, 181769
219, 157981, 164534, 266809, 302205, 284233, 235152
220, 287365, 285770, 284432, 298362, 305346, 292255
221, 297879, 282570, 270795, 268255, 264650, 276829
222, 283413, 283130, 289031, 295064, 297751, 289677
223, 168057, 164764, 179046, 198054, 166599, 175304
224, 166617, 170229, 162579, 161497, 162574, 164699
225, 164917, 162410, 162241, 161958, 253514, 181008
226, 182495, 169110, 162841, 174840, 194687, 176794
227, 176531, 180004, 310025, 294420, 291866, 250569
228, 298139, 325277, 299054, 310303, 332491, 313052
229, 354150, 374461, 576123, 543632, 403154, 450304
230, 347830, 356590, 355728, 343381, 377012, 356108
231, 363870, 365583, 238917, 359530, 409735, 347527
232, 375233, 361760, 375754, 599331, 641312, 470678
233, 585035, 623206, 542277, 550521, 570403, 574288
234, 531565, 576410, 515893, 533164, 622525, 555911
235, 608907, 601525, 568394, 598926, 3049524, 1085455
236, 1002378, 566698, 579615, 605762, 623332, 675557
237, 559743, 970861, 582658, 593033, 429845, 627228
238, 535399, 584242, 389567, 417955, 637909, 513014
239, 581056, 583601, 633078, 555772, 592105, 589122
240, 569427, 567070, 568156, 524239, 573067, 560391
241, 621110, 581072, 586991, 695803, 717115, 640418
242, 624408, 636477, 627058, 608456, 617510, 622781
243, 589454, 598881, 533655, 544574, 386876, 530688
244, 482685, 514391, 411326, 471147, 398352, 455580
245, 399842, 408712, 596585, 581808, 650821, 527553
246, 717014, 1056676, 786824, 1366142, 3306127, 1446556
247, 310013, 210966, 311508, 231223, 261318, 265005
248, 189523, 218918, 335242, 212585, 270886, 245430
249, 353205, 338918, 343750, 337368, 349309, 344510
250, 215342, 202775, 210649, 344911, 245560, 243847
251, 293965, 210564, 310127, 252015, 194518, 252237
252, 337970, 324735, 370200, 227485, 276269, 307331
253, 394255, 196121, 230438, 351000, 344197, 303202
254, 346703, 335003, 326824, 338810, 243200, 318108
255, 215345, 198536, 262330, 264485, 237977, 235734
256, 228054, 343823, 354815, 342014, 336964, 321134
257, 324041, 221887, 199129, 347396, 198393, 258169
258, 285833, 222151, 197484, 361983, 335820, 280654
259, 327268, 329380, 343955, 362230, 329317, 338430
260, 377527, 212753, 355919, 223843, 300310, 294070
261, 378386, 366844, 359318, 331492, 224264, 332060
262, 281042, 269054, 204129, 352995, 207273, 262898
263, 310520, 221000, 315760, 354671, 373650, 315120
264, 360075, 401735, 379013, 456411, 476192, 414685
265, 346219, 361732, 412339, 404813, 295131, 364046
266, 297474, 280075, 332070, 382338, 394084, 337208
267, 444505, 310472, 276167, 331947, 297695, 332157
268, 281866, 360218, 327625, 251005, 293200, 302782
269, 352437, 347070, 307157, 467956, 405727, 376069
270, 414078, 417222, 419867, 415132, 416030, 416465
271, 410228, 405642, 430390, 583690, 401100, 446210
272, 403360, 365633, 588832, 422249, 255250, 407064
273, 272221, 405080, 399990, 398144, 455572, 386201
274, 266135, 256284, 435804, 415178, 403561, 355392
275, 440549, 400217, 364108, 376481, 357694, 387809
276, 371059, 553507, 520821, 404709, 436941, 457407
277, 431609, 396035, 428728, 439530, 427928, 424766
278, 424064, 272229, 261597, 248918, 1649534, 571268
279, 287413, 281034, 248091, 386599, 295046, 299636
280, 249087, 333663, 245636, 344142, 253457, 285197
281, 250613, 283000, 343498, 234401, 250070, 272316
282, 364487, 311203, 254336, 233716, 231527, 279053
283, 236195, 289698, 265626, 293630, 247369, 266503
284, 264860, 255848, 239067, 240776, 238671, 247844
285, 236122, 234165, 232974, 236187, 232368, 234363
286, 266625, 235017, 233672, 232692, 237745, 241150
287, 235336, 235618, 304216, 236421, 257178, 253753
288, 336444, 250179, 237017, 264936, 246946, 267104
289, 325338, 317807, 389826, 287214, 245590, 313155
290, 387235, 372556, 303081, 246768, 260026, 313933
291, 244768, 247620, 241617, 260791, 240944, 247148
292, 242825, 329954, 351523, 254333, 278219, 291370
293, 297341, 266826, 337409, 250447, 247256, 279855
294, 247572, 267690, 251106, 244842, 319169, 266075
295, 248680, 352406, 256636, 246355, 247410, 270297
296, 251649, 248564, 247613, 255744, 247201, 250154
297, 248821, 248363, 275569, 276021, 254524, 260659
298, 257656, 330208, 258085, 259689, 252899, 271707
