<SIZE>, <EXECUTION_TIME_1>, <EXECUTION_TIME_2>, <EXECUTION_TIME_3>, <EXECUTION_TIME_4>, <EXECUTION_TIME_5>, <AVG>
1926, 137219, 60328, 64769, 60488, 48448, 74250
1927, 205035, 50163, 61359, 45800, 89619, 90395
1928, 150450, 150700, 64686, 62248, 41066, 93830
1929, 147038, 63097, 54561, 74442, 42110, 76249
1930, 186074, 77116, 55000, 40286, 37026, 79100
1931, 163357, 80228, 79350, 61406, 60350, 88938
1932, 156798, 78359, 66556, 42009, 54278, 79600
1933, 179208, 83276, 63400, 58464, 88274, 94524
1934, 176795, 77865, 52431, 40860, 94330, 88456
1935, 162922, 68904, 65898, 56633, 86754, 88222
1936, 173524, 62772, 70948, 99565, 71757, 95713
1937, 284023, 68872, 63200, 88377, 85256, 117945
1938, 196359, 89525, 88586, 66073, 50756, 98259
1939, 160818, 72960, 55007, 41504, 85870, 83231
1940, 176658, 73697, 84373, 89577, 54875, 95836
1941, 183766, 80666, 64072, 53157, 76430, 91618
1942, 145487, 64540, 44744, 60708, 79202, 78936
1943, 198260, 82557, 50876, 79085, 49151, 91985
1944, 171536, 78630, 77676, 103588, 61447, 98575
1945, 171030, 68716, 73423, 76565, 58924, 89731
1946, 139713, 132720, 78790, 43608, 98893, 98744
1947, 140285, 54016, 84042, 98177, 72147, 89733
1948, 179972, 74895, 75181, 97835, 69762, 99529
1949, 175281, 98344, 77621, 78262, 100815, 106064
1950, 168910, 78970, 83145, 78693, 80149, 97973
1951, 194895, 76695, 68586, 74207, 94993, 101875
1952, 180452, 58181, 70444, 79977, 69909, 91792
1953, 197127, 78620, 67797, 66635, 56693, 93374
1954, 170971, 55426, 58307, 58079, 95220, 87600
1955, 169391, 78068, 70283, 61503, 65028, 88854
1956, 182761, 70499, 63194, 63555, 63490, 88699
1957, 203710, 79654, 65667, 66922, 77727, 98736
1958, 182897, 72492, 59525, 41232, 37504, 78730
1959, 143897, 53937, 59187, 46397, 37705, 68224
1960, 164846, 88011, 110327, 64150, 76050, 100676
1961, 170044, 75694, 61367, 59921, 112294, 95864
1962, 199399, 93611, 68628, 89423, 82675, 106747
1963, 175287, 87338, 88055, 66007, 109064, 105150
1964, 154983, 64754, 56378, 77596, 68399, 84422
1965, 211677, 79179, 61334, 46574, 38685, 87489
1966, 151116, 60588, 62940, 97789, 46742, 83835
1967, 175759, 53319, 46063, 40262, 97079, 82496
1968, 172457, 50483, 60314, 38095, 34912, 71252
1969, 178169, 81063, 67522, 44275, 38808, 81967
1970, 180771, 63832, 56750, 70409, 42230, 82798
1971, 178481, 62785, 82327, 56289, 39288, 83834
1972, 151379, 70448, 51409, 69693, 65860, 81757
1973, 142275, 88875, 72204, 71594, 49611, 84911
1974, 143735, 57315, 41120, 37012, 35407, 62917
1975, 138833, 52880, 41924, 37316, 72852, 68761
1976, 168711, 77896, 41004, 36852, 55640, 76020
1977, 142857, 69479, 74817, 53682, 74937, 83154
1978, 206154, 52049, 47902, 36991, 35152, 75649
1979, 190297, 83344, 76290, 70666, 82027, 100524
1980, 181980, 151643, 66559, 62115, 90930, 110645
1981, 165310, 72259, 40281, 36579, 36063, 70098
1982, 140348, 47987, 68803, 79901, 51336, 77675
1983, 185460, 72374, 74850, 63224, 69547, 93091
1984, 191427, 72459, 75648, 44926, 40817, 85055
1985, 141841, 49459, 70078, 53340, 40490, 71041
1986, 146191, 82178, 77038, 50531, 40136, 79214
1987, 145256, 57936, 46509, 40565, 63869, 70827
1988, 194940, 74499, 41997, 37273, 35738, 76889
1989, 140887, 96249, 80133, 63359, 59757, 88077
1990, 248052, 55701, 85282, 100539, 64544, 110823
1991, 197927, 73327, 81190, 75848, 70920, 99842
1992, 191899, 76857, 90494, 118987, 112375, 118122
1993, 161306, 53223, 78417, 71766, 227502, 118442
1994, 178355, 77553, 86544, 96355, 67466, 101254
1995, 179140, 90354, 75220, 46947, 74902, 93312
1996, 162323, 63302, 51015, 69823, 79851, 85262
1997, 174926, 55783, 84067, 80198, 72422, 93479
1998, 190124, 69524, 98587, 71361, 72648, 100448
1999, 187463, 75447, 50219, 39320, 35756, 77641
2000, 191688, 48864, 84578, 73182, 78901, 95442
