<SIZE>, <EXECUTION_TIME_1>, <EXECUTION_TIME_2>, <EXECUTION_TIME_3>, <EXECUTION_TIME_4>, <EXECUTION_TIME_5>, <AVG>
480, 60, 42, 47, 79, 41, 53
481, 43, 41, 41, 42, 41, 41
482, 54, 41, 41, 41, 41, 43
483, 41, 41, 42, 41, 41, 41
484, 41, 41, 41, 41, 41, 41
485, 54, 69, 41, 42, 41, 49
486, 54, 41, 55, 41, 42, 46
487, 41, 41, 54, 41, 42, 43
488, 41, 41, 40, 41, 41, 40
489, 41, 41, 42, 41, 41, 41
490, 55, 41, 41, 41, 41, 43
491, 41, 41, 41, 41, 42, 41
492, 41, 41, 41, 41, 41, 41
493, 43, 41, 41, 41, 42, 41
494, 43, 41, 41, 55, 41, 44
495, 41, 40, 41, 40, 41, 40
496, 41, 41, 41, 45, 42, 42
497, 41, 41, 43, 72, 41, 47
498, 54, 41, 55, 41, 41, 46
499, 41, 41, 41, 41, 41, 41
500, 41, 41, 41, 41, 41, 41
501, 41, 41, 41, 42, 41, 41
502, 41, 41, 69, 54, 41, 49
503, 41, 41, 43, 41, 41, 41
504, 43, 41, 42, 54, 41, 44
505, 42, 40, 43, 41, 41, 41
506, 41, 41, 41, 42, 41, 41
507, 41, 41, 40, 41, 41, 40
508, 41, 41, 41, 41, 42, 41
509, 41, 41, 41, 41, 42, 41
510, 41, 41, 41, 41, 42, 41
511, 41, 41, 41, 42, 41, 41
512, 42, 41, 41, 41, 39, 40
513, 41, 55, 41, 41, 42, 44
514, 41, 41, 43, 42, 41, 41
515, 41, 41, 41, 41, 41, 41
516, 41, 41, 41, 41, 41, 41
517, 41, 41, 41, 41, 41, 41
518, 41, 41, 41, 41, 41, 41
519, 41, 40, 41, 41, 41, 40
520, 41, 41, 41, 42, 42, 41
521, 41, 41, 41, 41, 41, 41
522, 41, 41, 55, 55, 42, 46
523, 41, 41, 43, 41, 41, 41
524, 43, 41, 41, 41, 40, 41
525, 41, 41, 54, 42, 41, 43
526, 41, 41, 41, 41, 41, 41
527, 41, 40, 43, 41, 41, 41
528, 41, 41, 41, 42, 41, 41
529, 43, 41, 41, 41, 41, 41
530, 41, 41, 41, 41, 41, 41
531, 41, 41, 40, 41, 41, 40
532, 41, 41, 41, 41, 41, 41
533, 41, 41, 41, 41, 41, 41
534, 41, 41, 41, 41, 41, 41
535, 41, 41, 41, 41, 41, 41
536, 42, 41, 41, 41, 54, 43
537, 41, 41, 41, 42, 41, 41
538, 41, 41, 41, 54, 41, 43
539, 41, 105, 43, 41, 41, 54
540, 41, 41, 41, 41, 41, 41
541, 41, 41, 54, 42, 42, 44
542, 41, 41, 41, 153, 43, 63
543, 41, 41, 41, 41, 41, 41
544, 41, 41, 41, 41, 41, 41
545, 41, 41, 41, 54, 41, 43
546, 41, 41, 42, 41, 41, 41
547, 47, 40, 41, 41, 41, 42
548, 41, 41, 41, 41, 41, 41
549, 41, 41, 41, 41, 41, 41
550, 41, 41, 42, 41, 83, 49
551, 84, 41, 41, 41, 42, 49
552, 41, 41, 41, 42, 41, 41
553, 41, 41, 41, 41, 41, 41
554, 41, 41, 41, 42, 41, 41
555, 41, 41, 143, 42, 41, 61
556, 41, 41, 99, 54, 41, 55
557, 43, 41, 54, 41, 41, 44
