<SIZE>, <EXECUTION_TIME_1>, <EXECUTION_TIME_2>, <EXECUTION_TIME_3>, <EXECUTION_TIME_4>, <EXECUTION_TIME_5>, <AVG>
266, 81364, 16693, 16693, 16258, 16087, 29419
267, 82328, 17080, 16785, 16128, 16518, 29767
268, 84682, 16741, 16459, 16681, 16664, 30245
269, 78074, 17109, 16434, 16393, 16760, 28954
270, 84571, 17315, 16724, 16424, 16882, 30383
271, 84168, 17396, 17145, 16529, 16508, 30349
272, 99581, 17166, 17283, 17092, 17085, 33641
273, 86854, 17623, 17013, 16868, 16818, 31035
274, 114774, 31034, 18331, 17641, 24431, 41242
275, 92611, 18038, 17997, 17695, 17539, 32776
276, 88037, 18175, 17875, 29644, 29226, 36591
277, 90140, 17935, 17624, 17346, 17342, 32077
278, 89640, 17911, 17567, 29511, 17563, 34438
279, 93332, 18478, 17796, 17958, 30716, 35656
280, 91577, 18763, 17815, 17641, 17567, 32672
281, 102051, 31275, 17999, 21625, 17735, 38137
282, 96267, 18357, 18468, 18301, 17805, 33839
283, 91405, 19098, 21261, 18526, 18001, 33658
284, 92403, 18588, 18367, 18401, 18645, 33280
285, 92702, 18646, 18394, 18257, 18696, 33339
286, 94639, 18770, 19060, 18328, 18309, 33821
287, 92248, 18975, 19247, 18505, 18917, 33578
288, 95059, 20036, 18961, 18724, 18595, 34275
289, 99667, 19565, 19452, 19296, 19315, 35459
290, 104160, 19723, 30188, 35074, 19968, 41822
291, 95434, 20303, 19566, 19334, 19560, 34839
292, 91418, 19937, 19897, 19187, 19727, 34033
293, 97302, 19771, 19362, 19832, 19756, 35204
294, 103953, 19948, 19610, 20033, 25332, 37775
295, 103869, 20355, 31806, 36641, 26047, 43743
296, 98063, 20856, 20446, 19777, 20202, 35868
297, 103685, 20246, 20518, 20531, 20432, 37082
298, 104904, 20401, 20021, 19966, 26519, 38362
299, 106806, 20789, 20925, 20589, 32099, 40241
300, 114710, 21292, 20929, 20263, 20713, 39581
301, 107322, 21291, 21071, 20299, 20253, 38047
302, 104502, 21511, 21252, 20459, 20976, 37740
303, 101512, 21204, 21291, 20557, 21248, 37162
304, 104757, 21339, 20930, 20701, 21197, 37784
305, 103382, 21540, 20966, 21447, 20953, 37657
306, 136034, 36650, 21360, 20997, 21435, 47295
307, 107124, 21660, 21839, 21783, 21062, 38693
308, 101860, 21770, 21326, 21261, 21207, 37484
309, 108984, 21902, 22135, 21903, 21278, 39240
310, 105134, 22588, 22235, 22137, 22046, 38828
311, 113470, 22154, 22319, 22202, 22137, 40456
312, 105379, 23070, 22502, 22369, 21717, 39007
313, 111956, 22840, 21973, 21937, 21856, 40112
314, 110729, 23069, 23228, 22662, 22049, 40347
315, 108781, 22715, 22251, 22059, 22686, 39698
316, 116840, 23813, 23216, 22391, 22333, 41718
317, 115398, 23649, 23259, 23054, 25292, 42130
318, 109393, 22973, 23344, 22529, 23090, 40265
319, 117210, 39851, 23766, 27259, 22686, 46154
320, 115487, 24071, 23079, 67622, 23997, 50851
321, 167293, 36914, 24544, 23141, 22996, 54977
322, 112087, 24074, 23498, 23902, 23825, 41477
323, 120637, 24559, 23496, 23961, 23152, 43161
324, 118312, 23896, 24161, 23926, 23292, 42717
325, 112797, 24932, 24485, 23614, 24137, 41993
326, 119759, 24134, 24446, 24343, 24299, 43396
327, 119985, 25057, 23999, 23720, 24377, 43427
328, 118622, 25377, 24801, 23942, 24535, 43455
329, 122678, 24594, 24846, 24099, 23946, 44032
330, 123636, 24660, 25096, 24217, 24746, 44471
331, 117016, 24977, 43489, 29684, 24463, 47925
332, 122393, 44547, 45374, 42505, 41089, 59181
333, 153660, 32871, 25913, 24732, 24574, 52350
334, 119352, 26440, 25148, 38103, 25691, 46946
335, 129092, 25598, 25889, 25667, 25585, 46366
336, 131003, 25749, 25294, 25722, 25244, 46602
337, 121121, 26809, 36830, 25909, 25629, 47259
338, 130500, 26133, 25787, 42379, 44632, 53886
339, 165891, 26940, 25710, 25473, 26110, 54024
340, 116547, 26079, 25872, 25665, 25563, 43945
341, 142485, 44842, 26140, 26494, 26414, 53275
342, 128952, 26447, 26118, 25912, 26545, 46794
343, 127093, 27076, 26393, 26164, 26754, 46696
344, 140319, 26959, 50698, 27430, 26338, 54348
345, 132586, 28065, 26819, 26539, 26418, 48085
346, 136190, 27303, 26792, 27457, 27369, 49022
347, 126766, 28111, 26851, 27503, 26620, 47170
348, 132555, 28082, 27866, 26745, 26694, 48388
349, 128437, 28815, 27283, 27861, 27011, 47881
350, 138421, 27715, 27324, 27937, 27055, 49690
351, 137036, 28591, 28260, 27237, 27255, 49675
352, 134801, 28848, 28306, 27497, 28100, 49510
353, 136381, 28387, 28535, 28349, 28271, 49984
354, 134629, 28218, 28576, 28458, 28422, 49660
355, 138678, 28567, 28187, 28668, 36169, 52053
356, 198325, 50677, 33925, 28472, 28080, 67895
357, 139719, 51084, 36201, 58579, 41684, 65453
358, 148456, 29665, 29675, 28712, 33402, 53982
359, 143713, 30289, 28823, 28668, 29248, 52148
360, 138026, 29482, 28826, 28704, 28625, 50732
361, 151384, 29464, 29308, 29660, 28843, 53731
362, 143453, 30633, 29330, 29060, 28831, 52261
363, 153021, 30427, 30149, 29108, 32815, 55104
364, 140379, 30513, 30242, 30109, 30072, 52263
365, 147504, 30084, 29672, 30195, 30095, 53510
366, 138639, 31135, 30548, 29649, 30321, 52058
367, 152547, 31228, 30795, 29746, 29676, 54798
368, 143574, 31368, 30101, 30001, 30638, 53136
369, 148918, 30916, 31139, 30923, 29948, 54368
370, 151556, 31911, 30399, 31010, 30067, 54988
371, 144581, 32316, 31450, 31233, 31253, 54166
372, 160363, 31763, 31004, 31690, 30645, 57093
373, 146735, 31721, 31275, 31711, 31553, 54599
374, 154356, 31734, 31197, 31801, 31702, 56158
375, 148409, 31999, 31397, 31142, 31917, 54972
376, 159156, 31637, 32314, 31218, 33092, 57483
377, 167072, 39329, 59817, 31869, 31361, 65889
378, 158638, 32241, 58049, 32423, 32258, 62721
379, 162319, 33568, 31888, 31625, 31669, 58213
380, 157432, 49609, 50658, 44590, 48554, 70168
381, 191771, 50159, 48782, 48241, 48917, 77574
382, 153947, 33855, 32289, 32925, 32876, 57178
383, 163981, 33933, 33402, 33123, 45708, 62029
384, 174141, 34480, 49427, 36209, 46608, 68173
385, 186825, 60612, 59960, 59725, 63186, 86061
386, 196801, 63208, 53549, 54792, 62586, 86187
387, 202671, 56587, 59285, 63056, 62740, 88867
388, 204076, 61455, 63676, 57250, 63935, 90078
389, 209642, 59482, 62945, 62372, 58666, 90621
390, 200910, 56843, 57594, 56311, 57345, 85800
391, 200902, 59512, 60193, 61341, 62203, 88830
392, 206676, 63718, 62633, 62967, 62290, 91656
393, 205948, 62993, 34158, 39796, 42674, 77113
394, 160796, 35842, 35145, 65156, 56200, 70627
395, 211596, 62583, 58201, 34746, 35087, 80442
396, 162865, 35164, 34749, 34459, 34443, 60336
397, 173183, 35250, 35909, 35467, 35387, 63039
398, 163862, 35390, 35054, 34718, 35485, 60901
399, 169796, 35676, 35169, 35884, 35880, 62481
400, 173072, 40031, 63656, 51156, 61087, 77800
401, 169926, 37327, 35541, 36316, 36238, 63069
402, 186362, 64622, 62539, 63062, 62620, 87841
403, 191742, 63317, 63048, 62896, 62610, 88722
404, 217711, 69612, 68280, 57119, 67789, 96102
405, 195126, 64157, 64078, 56387, 63670, 88683
406, 195584, 65383, 64147, 63828, 63846, 90557
407, 196110, 64993, 64859, 64322, 64330, 90922
408, 191389, 65445, 64914, 64474, 64618, 90168
409, 196020, 65175, 112813, 63506, 65135, 100529
410, 194706, 56580, 57031, 64747, 56451, 85903
411, 205337, 59409, 74207, 57856, 64481, 92258
412, 214542, 72235, 37832, 37241, 37996, 79969
413, 179890, 39298, 38801, 37402, 37255, 66529
414, 175637, 39739, 45147, 57293, 57718, 75106
415, 222897, 58737, 58240, 67883, 57384, 93028
416, 214372, 59017, 58939, 57611, 71875, 92362
417, 222956, 68250, 53042, 53039, 52760, 90009
418, 218260, 63163, 70992, 62069, 70451, 96987
419, 224938, 67027, 53396, 53199, 52551, 90222
420, 220787, 63277, 63648, 62507, 61339, 94311
421, 218228, 54519, 54681, 66991, 77369, 94357
422, 243572, 64199, 79150, 62144, 62551, 102323
