<SIZE>, <EXECUTION_TIME_1>, <EXECUTION_TIME_2>, <EXECUTION_TIME_3>, <EXECUTION_TIME_4>, <EXECUTION_TIME_5>, <AVG>
1787, 69623, 70978, 69595, 69810, 70010, 70003
1788, 72037, 72615, 71679, 72846, 72001, 72235
1789, 71257, 69896, 70938, 71012, 71685, 70957
1790, 72520, 72341, 71817, 72222, 73305, 72441
1791, 68790, 71976, 71084, 70249, 70002, 70420
1792, 74391, 74505, 75222, 75006, 75918, 75008
1793, 71614, 71489, 70469, 74792, 73234, 72319
1794, 70891, 71698, 72771, 70843, 71750, 71590
1795, 72309, 71732, 73146, 72561, 74164, 72782
1796, 73977, 76994, 89542, 72448, 71857, 76963
1797, 75803, 75361, 75364, 76738, 73442, 75341
1798, 72141, 70548, 70516, 70896, 70730, 70966
1799, 72329, 72311, 72394, 70518, 71122, 71734
1800, 72011, 72000, 71373, 72825, 77697, 73181
1801, 71525, 78149, 113165, 82293, 83734, 85773
1802, 71369, 72071, 83318, 81857, 81305, 77984
1803, 77126, 81590, 81473, 81889, 80483, 80512
1804, 78017, 81966, 82242, 81220, 62158, 77120
1805, 55648, 60469, 75197, 74451, 82540, 69661
1806, 77921, 83296, 81784, 81820, 102225, 85409
1807, 106893, 106096, 124564, 100783, 86773, 105021
1808, 76792, 75047, 75003, 81423, 75407, 76734
1809, 71191, 70580, 65377, 58628, 64442, 66043
1810, 73736, 59926, 49611, 49214, 67951, 60087
1811, 73092, 55858, 48870, 63475, 57882, 59835
1812, 72052, 71068, 49638, 49291, 71219, 62653
1813, 71248, 70609, 72716, 71236, 60861, 69334
1814, 49211, 49413, 53030, 72369, 76081, 60020
1815, 69489, 73065, 72394, 73367, 73332, 72329
1816, 71876, 71112, 71278, 70482, 70557, 71061
1817, 73396, 72612, 85543, 83740, 84385, 79935
1818, 122010, 103388, 103434, 110891, 77706, 103485
1819, 71123, 83343, 90259, 84496, 84480, 82740
1820, 121863, 131370, 121462, 83585, 84397, 108535
1821, 78905, 82750, 83915, 93414, 74214, 82639
1822, 71731, 71320, 72098, 72149, 71774, 71814
1823, 78213, 73140, 72040, 71996, 72214, 73520
1824, 77363, 80247, 87324, 87162, 73120, 81043
1825, 71853, 71321, 70611, 71564, 71412, 71352
1826, 73516, 66482, 73368, 73510, 75843, 72543
1827, 73577, 73986, 58554, 74133, 75805, 71211
1828, 75299, 72685, 79071, 72605, 71047, 74141
1829, 75231, 84131, 84268, 84677, 73420, 80345
1830, 71761, 194356, 84014, 83142, 82528, 103160
1831, 94312, 85237, 103768, 102159, 104834, 98062
1832, 111580, 73645, 72606, 72257, 72727, 80563
1833, 68920, 92737, 52864, 661129, 50080, 185146
