<ITERATION>, <X>, <F>
60, 0.06, 0.000216
61, 0.061, 0.000226981
62, 0.062, 0.00023832799999999997
63, 0.063, 0.00025004700000000004
64, 0.064, 0.000262144
65, 0.065, 0.000274625
66, 0.066, 0.00028749600000000004
67, 0.067, 0.00030076300000000006
68, 0.068, 0.00031443200000000007
69, 0.069, 0.00032850900000000005
70, 0.07, 0.0003430000000000001
71, 0.07100000000000001, 0.00035791100000000014
72, 0.07200000000000001, 0.0003732480000000001
73, 0.073, 0.00038901699999999997
74, 0.074, 0.00040522399999999993
75, 0.075, 0.000421875
76, 0.076, 0.000438976
77, 0.077, 0.000456533
78, 0.078, 0.000474552
79, 0.079, 0.000493039
80, 0.08, 0.0005120000000000001
81, 0.081, 0.000531441
82, 0.082, 0.0005513680000000001
83, 0.083, 0.0005717870000000001
84, 0.084, 0.0005927040000000001
85, 0.085, 0.0006141250000000002
86, 0.08600000000000001, 0.0006360560000000002
87, 0.08700000000000001, 0.0006585030000000002
88, 0.088, 0.0006814719999999999
89, 0.089, 0.0007049689999999998
90, 0.09, 0.0007289999999999999
91, 0.091, 0.000753571
92, 0.092, 0.0007786879999999999
93, 0.093, 0.000804357
94, 0.094, 0.000830584
95, 0.095, 0.0008573750000000001
96, 0.096, 0.000884736
97, 0.097, 0.0009126730000000001
98, 0.098, 0.0009411920000000002
99, 0.099, 0.0009702990000000001
100, 0.1, 0.0010000000000000002
101, 0.101, 0.0010303010000000002
102, 0.10200000000000001, 0.0010612080000000003
103, 0.10300000000000001, 0.0010927270000000004
104, 0.10400000000000001, 0.0011248640000000004
105, 0.105, 0.0011576249999999998
106, 0.106, 0.0011910159999999998
107, 0.107, 0.0012250429999999999
108, 0.108, 0.0012597119999999999
109, 0.109, 0.0012950289999999998
110, 0.11, 0.001331
111, 0.111, 0.001367631
112, 0.112, 0.0014049280000000002
113, 0.113, 0.001442897
114, 0.114, 0.0014815440000000002
115, 0.115, 0.001520875
116, 0.116, 0.0015608960000000002
117, 0.117, 0.0016016130000000002
118, 0.11800000000000001, 0.0016430320000000004
119, 0.11900000000000001, 0.0016851590000000003
120, 0.12, 0.001728
121, 0.121, 0.0017715609999999998
122, 0.122, 0.001815848
123, 0.123, 0.001860867
124, 0.124, 0.0019066239999999998
125, 0.125, 0.001953125
126, 0.126, 0.0020003760000000003
127, 0.127, 0.002048383
128, 0.128, 0.002097152
129, 0.129, 0.002146689
130, 0.13, 0.002197
131, 0.131, 0.0022480910000000002
132, 0.132, 0.0022999680000000003
133, 0.133, 0.0023526370000000007
134, 0.134, 0.0024061040000000005
135, 0.135, 0.0024603750000000003
136, 0.136, 0.0025154560000000005
137, 0.137, 0.0025713530000000006
138, 0.138, 0.0026280720000000004
139, 0.139, 0.002685619000000001
140, 0.14, 0.0027440000000000008
141, 0.14100000000000001, 0.0028032210000000007
142, 0.14200000000000002, 0.002863288000000001
143, 0.14300000000000002, 0.002924207000000001
144, 0.14400000000000002, 0.002985984000000001
145, 0.145, 0.0030486249999999997
146, 0.146, 0.0031121359999999997
147, 0.147, 0.0031765229999999992
148, 0.148, 0.0032417919999999994
149, 0.149, 0.0033079489999999997
150, 0.15, 0.003375
151, 0.151, 0.0034429509999999997
152, 0.152, 0.003511808
153, 0.153, 0.003581577
154, 0.154, 0.003652264
155, 0.155, 0.003723875
156, 0.156, 0.003796416
157, 0.157, 0.003869893
158, 0.158, 0.003944312
159, 0.159, 0.004019679
160, 0.16, 0.004096000000000001
161, 0.161, 0.004173281000000001
162, 0.162, 0.004251528
163, 0.163, 0.004330747
164, 0.164, 0.004410944000000001
165, 0.165, 0.0044921250000000005
166, 0.166, 0.004574296000000001
167, 0.167, 0.004657463000000001
168, 0.168, 0.004741632000000001
169, 0.169, 0.0048268090000000005
170, 0.17, 0.004913000000000002
171, 0.171, 0.005000211000000001
172, 0.17200000000000001, 0.0050884480000000015
173, 0.17300000000000001, 0.005177717000000001
174, 0.17400000000000002, 0.005268024000000001
175, 0.17500000000000002, 0.005359375000000001
176, 0.176, 0.005451775999999999
177, 0.177, 0.005545232999999999
178, 0.178, 0.005639751999999999
179, 0.179, 0.005735339
180, 0.18, 0.0058319999999999995
181, 0.181, 0.005929741
182, 0.182, 0.006028568
